-10 -0.199955
-9.59184 -0.199932
-9.18367 -0.199897
-8.77551 -0.199846
-8.36735 -0.199768
-7.95918 -0.199651
-7.55102 -0.199475
-7.14286 -0.19921
-6.73469 -0.198812
-6.32653 -0.198215
-5.91837 -0.197318
-5.5102 -0.195971
-5.10204 -0.193952
-4.69388 -0.190932
-4.28571 -0.186423
-3.87755 -0.179718
-3.46939 -0.169804
-3.06122 -0.155265
-2.65306 -0.134199
-2.2449 -0.104209
-1.83673 -0.0625619
-1.42857 -0.00667848
-1.02041 0.064948
-0.612245 0.151547
-0.204082 0.249156
0.204082 0.350844
0.612245 0.448453
1.02041 0.535052
1.42857 0.606678
1.83673 0.662562
2.2449 0.704209
2.65306 0.734199
3.06122 0.755265
3.46939 0.769804
3.87755 0.779718
4.28571 0.786423
4.69388 0.790932
5.10204 0.793952
5.5102 0.795971
5.91837 0.797318
6.32653 0.798215
6.73469 0.798812
7.14286 0.79921
7.55102 0.799475
7.95918 0.799651
8.36735 0.799768
8.77551 0.799846
9.18367 0.799897
9.59184 0.799932
10 0.799955
